Category,Error Type,Minimal Pair,Flag/Explain
Article Errors,Missing Definite Article,"""I went to library yesterday"" / ""I went to the library yesterday""",Flag + Explain
Article Errors,Missing Indefinite Article,"""He is teacher"" / ""He is a teacher""",Flag + Explain
Article Errors,Unnecessary Article with Plural Generics,"""The dogs are loyal animals"" / ""Dogs are loyal animals""",Flag + Explain
Article Errors,Article with Uncountable Nouns,"""I need an information"" / ""I need information""",Flag + Explain
Plural Marking Errors,Missing Plural -s,"""Three book"" / ""Three books""",Flag + Explain
Plural Marking Errors,Double Plural Marking,"""Many peoples"" / ""Many people""",Flag + Explain
Plural Marking Errors,Irregular Plural Formation,"""Two childs"" / ""Two children""",Flag + Explain
Subject-Verb Agreement Errors,Third Person Singular -s Missing,"""She work here"" / ""She works here""",Flag + Explain
Subject-Verb Agreement Errors,Incorrect Agreement with Collective Nouns,"""The team are ready"" (AmE) / ""The team is ready""",Flag Only
Subject-Verb Agreement Errors,Agreement with Quantifiers,"""Each of them have"" / ""Each of them has""",Flag + Explain
Verb Tense Errors,Missing Past Tense Marker,"""Yesterday I go shopping"" / ""Yesterday I went shopping""",Flag + Explain
Verb Tense Errors,Incorrect Present Perfect Usage,"""I am living here for 5 years"" / ""I have lived here for 5 years""",Flag + Explain
Verb Tense Errors,Simple Past vs Present Perfect,"""Did you eat lunch yet?"" / ""Have you eaten lunch yet?""",Flag + Explain
Verb Tense Errors,Future Time Expression with Present Tense,"""Tomorrow I go to work"" / ""Tomorrow I will go to work""",Flag + Explain
Aspect Errors,Missing Progressive Aspect,"""She cooks now"" (when action is ongoing) / ""She is cooking now""",Flag + Explain
Aspect Errors,Stative Verb in Progressive,"""I am knowing the answer"" / ""I know the answer""",Flag + Explain
Aspect Errors,Perfect Aspect with Time Adverbial,"""I have finished it yesterday"" / ""I finished it yesterday""",Flag + Explain
Modal Verb Errors,Double Modals,"""Will can you help?"" / ""Can you help?""",Flag + Explain
Modal Verb Errors,Modal + Infinitive with 'to',"""You should to go"" / ""You should go""",Flag + Explain
Modal Verb Errors,Past Modal Formation,"""You should went"" / ""You should have gone""",Flag + Explain
Preposition Errors,Wrong Preposition (Time),"""In Monday"" / ""On Monday""",Flag + Explain
Preposition Errors,Wrong Preposition (Place),"""In the bus"" / ""On the bus""",Flag + Explain
Preposition Errors,Wrong Preposition (Dependent),"""Depend of"" / ""Depend on""",Flag + Explain
