Error Type,Minimal Pair,Flag/Explain
Missing definite article,"""I went to library yesterday"" → ""I went to the library yesterday""",
Missing indefinite article,"""He is teacher"" → ""He is a teacher""",
Unnecessary article with plural generalizations,"""The dogs are loyal animals"" → ""Dogs are loyal animals""",
Article with uncountable nouns,"""I need an information"" → ""I need information""",
Article with proper nouns,"""The Hong Kong is busy"" → ""Hong Kong is busy""",
Article with abstract nouns,"""The happiness is important"" → ""Happiness is important""",
Zero article with institutions (idiomatic),"""She is at the home"" → ""She is at home""",
Missing plural -s,"""Three book"" → ""Three books""",
Double plural marking,"""Many peoples"" → ""Many people""",
Irregular plural formation,"""Two childs"" → ""Two children""",
Third person singular -s missing,"""She work here"" → ""She works here""",
Agreement with quantifiers,"""Each of them have"" → ""Each of them has""",
Collective nouns (dialect variation),"""The team are ready"" → ""The team is ready""",
Missing past tense marker,"""Yesterday I go shopping"" → ""Yesterday I went shopping""",
Incorrect present perfect usage,"""I am living here for 5 years"" → ""I have lived here for 5 years""",
Simple past vs present perfect,"""Did you eat lunch yet?"" → ""Have you eaten lunch yet?""",
Future time expression with present tense,"""Tomorrow I go to work"" → ""Tomorrow I will go to work""",
Missing progressive aspect,"""She cooks now"" → ""She is cooking now""",
Stative verb in progressive,"""I am knowing the answer"" → ""I know the answer""",
Perfect aspect with definite past time,"""I have finished it yesterday"" → ""I finished it yesterday""",
Double modals,"""Will can you help?"" → ""Can you help?""",
Modal + infinitive with 'to',"""You should to go"" → ""You should go""",
Past modal formation,"""You should went"" → ""You should have gone""",
Wrong preposition (time),"""In Monday"" → ""On Monday""",
Wrong preposition (place),"""In the bus"" → ""On the bus""",
Wrong preposition (dependent),"""Depend of"" → ""Depend on""",
Missing preposition,"""Listen the music"" → ""Listen to the music""",
Unnecessary preposition,"""Discuss about the issue"" → ""Discuss the issue""",
Adverb placement,"""He drives carefully always"" → ""He always drives carefully""",
Adjective order,"""A wooden old table"" → ""An old wooden table""",
Question word order,"""Where you went?"" → ""Where did you go?""",
Indirect question word order,"""I wonder where is he"" → ""I wonder where he is""",
Resumptive pronoun,"""The person who I met him"" → ""The person who I met""",
Wrong relative pronoun,"""The place who I visited"" → ""The place that I visited""",
Missing relative pronoun (with resumptive),"""The book I bought it"" → ""The book I bought""",
Missing 'be' in passive,"""The house built in 1990"" → ""The house was built in 1990""",
Passive with intransitive verb,"""The accident was happened"" → ""The accident happened""",
Wrong participle form,"""It was write"" → ""It was written""",
Wrong form after verb,"""I enjoy to read"" → ""I enjoy reading""",
Wrong form after verb (opposite),"""I want reading"" → ""I want to read""",
Wrong form after preposition,"""I'm interested in to learn"" → ""I'm interested in learning""",
