Error Type,Minimal Pair,Label,Runtime Behaviour,Justification,Cantonese Source,Source
Null Subject (Weather/State),Is raining. → It is raining.,[Prescriptive],Flag Only (Casual) / Flag + Explain (Formal),C1s know dummy 'it' is required but omit in chat. Self-evident fix.,落緊雨 (no 'it' needed),Table1_Borderline
Null Subject (Opinion),Is very difficult. → It is very difficult.,[Prescriptive],Flag Only (Casual) / Flag + Explain (Formal),Same as above; code-switching in casual contexts.,好難 (no 'it' needed),Table1_Borderline
Missing Subject Pronoun,Don't know what to do. → I don't know what to do.,[Prescriptive],Flag Only (Casual) / Flag + Explain (Formal),Very common in WhatsApp/chat. Self-evident once flagged.,唔知點做 (no 'I' required),Table1_Borderline
Redundant Subject (Topic-Comment),My brother he is tall. → My brother is tall.,[Naturalness],Flag Only (Casual) / Flag + Explain (Formal),Acceptable emphasis in speech; annoying in formal writing. Simple deletion.,我阿哥佢好高 (topic + comment structure),Table1_Borderline
'Already' Aspect Marker,I finish already. → I already finished. / I have finished.,[Prescriptive],Flag + Explain,Aspect marker transfer affecting tense. Needs explanation of English aspect/tense system.,我做完咗 (completive 咗),Table1_Borderline
'Wanna' in Casual,I wanna go. → I want to go.,[Descriptive],Ignore (Casual) / Flag + Explain (Formal),Standard in chat/SMS. Only flag in formal contexts.,N/A (universal casual register),Table2_OverFlagged
Existential 'Have',Have many people here. → There are many people here.,[Prescriptive],Flag + Explain,Changes meaning structure. Genuine error even in casual contexts.,呢度有好多人 (lit. 'here have many people'),Table3_KeepFlag
Resumptive Pronoun,The person who I met him. → The person who I met.,[Prescriptive],Flag + Explain,Genuine relative clause error. Needs explanation of English syntax.,我見過嗰個人佢... (topic chain with resumptive),Table3_KeepFlag
Question Tag (Fixed 'isn't it'),"You like it, isn't it? → You like it, don't you?",[Prescriptive],Flag + Explain,Wrong grammar pattern; confusing to readers. Needs tag question rule explanation.,"你鍾意,係唔係? (lit. 'is not is?')",Table3_KeepFlag
Calque Verb: 'Open/Close',Open the light. → Turn on the light.,[Prescriptive],Flag + Explain,Lexical error; confusing to non-HK readers. Needs verb collocation explanation.,開燈 (lit. 'open light'),Table3_KeepFlag
Calque Verb: 'Eat Medicine',Eat medicine. → Take medicine.,[Prescriptive],Flag + Explain,Lexical error; sounds childish or non-native.,食藥 (lit. 'eat medicine'),Table3_KeepFlag
'Got' for 'Have/There is',Got people inside. → There are people inside.,[Prescriptive],Flag + Explain,Non-standard existential. Needs explanation of 'there is/are' vs 'have/got'.,入面有人 (Colloquial Cantonese 有),Table3_KeepFlag
Missing 'be' in passive,The house built in 1990 → The house was built in 1990,[Prescriptive],Flag + Explain,Passive structure different; needs explanation.,間屋1990年起嘅 (no auxiliary),Category10_Passive_Voice
Passive with intransitive,The accident was happened → The accident happened,[Prescriptive],Flag + Explain,Transitivity needs explanation; confusing because both are past.,意外發生咗 (no passive),Category10_Passive_Voice
