Error Type,Minimal Pair,Label,Runtime Behaviour,Justification,Cantonese Source,SourceFile
'Already' Aspect Marker,I finish already. → I already finished. / I have finished.,[Prescriptive],Flag + Explain,Aspect marker transfer affecting tense. Needs explanation of English aspect/tense system.,我做完咗 (completive 咗),Table1_Borderline_Cantonese_Transfer
'Got' for 'Have/There is',Got people inside. → There are people inside.,[Prescriptive],Flag + Explain,Non-standard existential. Needs explanation of 'there is/are' vs 'have/got'.,入面有人 (Colloquial Cantonese 有),Table3_Keep_Flag_Explain
-ing vs -ed confusion,I am boring → I am bored,[Prescriptive],Flag + Explain,Participial adjective distinction needs explanation.,我好悶 (no distinction),19_Advanced_Structures
Adjective order,A wooden old table → An old wooden table,[Naturalness],Flag + Explain,OSASCOMP order is arbitrary; needs memorization.,一張舊木枱 (age before material),7_Word_Order
Adverb placement,He drives carefully always. → He always drives carefully.,[Prescriptive],Flag + Explain,Adverb placement rules complex; needs explanation.,佢成日小心咁揸車 (always at start),7_Word_Order
Agreement with quantifiers,Each of them have. → Each of them has.,[Prescriptive],Flag + Explain,Complex; needs explanation of 'each' as singular.,佢哋每個人都有 (no agreement),3_SVA
Article with proper nouns,The Hong Kong is busy. → Hong Kong is busy.,[Prescriptive],Flag + Explain,Self-evident for C1; just delete 'the'.,香港好繁忙 (no article),1_Articles
Article with uncountable nouns,I need an information. → I need information.,[Prescriptive],Flag + Explain,Countability + article interaction; needs explicit rule.,我要啲資料 (no article),1_Articles
Calque Verb: 'Eat Medicine',Eat medicine. → Take medicine.,[Prescriptive],Flag + Explain,Lexical error; sounds childish or non-native.,食藥 (lit. 'eat medicine'),Table3_Keep_Flag_Explain
Calque Verb: 'Open/Close',Open the light. → Turn on the light.,[Prescriptive],Flag + Explain,Lexical error; confusing to non-HK readers. Needs verb collocation explanation.,開燈 (lit. 'open light'),Table3_Keep_Flag_Explain
Comma splice,"I was tired, I went home → I was tired, so I went home",[Prescriptive],Flag + Explain,Needs explanation of clause linking.,"我攰咗,我返屋企 (comma acceptable)",15_Sentence_Structure
Dangling modifier,"Walking down the street, the trees were beautiful → Walking down the street, I saw beautiful trees",[Prescriptive],Flag + Explain,Complex; needs explanation of subject match.,"行落街,啲樹好靚 (topic acceptable)",15_Sentence_Structure
Double plural marking,Many peoples → Many people,[Prescriptive],Flag + Explain,Needs explanation that 'people' is already plural.,好多人 (no plural marking),2_Plural_Marking
