Error Type,Minimal Pair,Tier,Label,Runtime Behaviour,Justification,Cantonese Source,Source,Tier_Original
Null Subject (Weather/State),Is raining. → It is raining.,1.0,[Prescriptive],Flag Only (Casual) / Flag + Explain (Formal),C1s know dummy 'it' is required but omit in chat. Self-evident fix.,落緊雨 (no 'it' needed),Table1_Borderline,1
Null Subject (Opinion),Is very difficult. → It is very difficult.,1.0,[Prescriptive],Flag Only (Casual) / Flag + Explain (Formal),Same as above; code-switching in casual contexts.,好難 (no 'it' needed),Table1_Borderline,1
Missing Subject Pronoun,Don't know what to do. → I don't know what to do.,1.0,[Prescriptive],Flag Only (Casual) / Flag + Explain (Formal),Very common in WhatsApp/chat. Self-evident once flagged.,唔知點做 (no 'I' required),Table1_Borderline,1
Redundant Subject (Topic-Comment),My brother he is tall. → My brother is tall.,1.0,[Naturalness],Flag Only (Casual) / Flag + Explain (Formal),Acceptable emphasis in speech; annoying in formal writing. Simple deletion.,我阿哥佢好高 (topic + comment structure),Table1_Borderline,1
'Already' Aspect Marker,I finish already. → I already finished. / I have finished.,2.0,[Prescriptive],Flag + Explain,Aspect marker transfer affecting tense. Needs explanation of English aspect/tense system.,我做完咗 (completive 咗),Table1_Borderline,2
Informal Contraction (Email),The report doesn't show... → The report does not show...,,[Descriptive],Ignore (Casual/Semi-Formal) / Flag Only (Academic),C1s know when to expand. Flagging in business emails is annoying; most companies accept contractions.,"N/A (register choice, not transfer)",Table2_OverFlagged,—
Collective Noun Agreement,The team are ready. → The team is ready.,,[Descriptive],Do Not Flag,Both BrE and AmE valid. Your spec says don't flag dialect variants.,N/A (not Cantonese-specific),Table2_OverFlagged,—
'Wanna' in Casual,I wanna go. → I want to go.,,[Descriptive],Ignore (Casual) / Flag + Explain (Formal),Standard in chat/SMS. Only flag in formal contexts.,N/A (universal casual register),Table2_OverFlagged,—
Existential 'Have',Have many people here. → There are many people here.,2.0,[Prescriptive],Flag + Explain,Changes meaning structure. Genuine error even in casual contexts.,呢度有好多人 (lit. 'here have many people'),Table3_KeepFlag,2
Resumptive Pronoun,The person who I met him. → The person who I met.,2.0,[Prescriptive],Flag + Explain,Genuine relative clause error. Needs explanation of English syntax.,我見過嗰個人佢... (topic chain with resumptive),Table3_KeepFlag,2
Question Tag (Fixed 'isn't it'),"You like it, isn't it? → You like it, don't you?",2.0,[Prescriptive],Flag + Explain,Wrong grammar pattern; confusing to readers. Needs tag question rule explanation.,"你鍾意,係唔係? (lit. 'is not is?')",Table3_KeepFlag,2
Calque Verb: 'Open/Close',Open the light. → Turn on the light.,2.0,[Prescriptive],Flag + Explain,Lexical error; confusing to non-HK readers. Needs verb collocation explanation.,開燈 (lit. 'open light'),Table3_KeepFlag,2
